planet,Study_area,win_start,n_months,truth_trend_cmyr
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2003,113,-0.0470080345879645
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2004,111,-0.5163929874448421
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2005,109,-1.0278418770868492
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2006,105,-1.6358624857804196
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2007,101,-1.7805302036041573
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2008,92,-1.973121254869007
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2009,88,-2.115437674873835
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2010,88,-1.839126644178007
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2011,89,-1.4255498721021702
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2012,91,-0.9971018572137481
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2013,94,-0.5099330184288225
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2014,97,-0.34352638551268244
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2015,99,-0.44058203859262
pilot_uniform_depletion_v2,Northern Eromanga Basin (Great Artesian Basin),2016,100,-0.548084417040858
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2002,114,-0.2615380963889116
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2003,113,-0.8384384419634177
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2004,111,-1.141844962754422
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2005,109,-1.2210399659673643
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2006,105,-1.3828969821190547
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2007,101,-1.6585413042871073
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2008,92,-1.605911234227312
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2009,88,-1.411460023017483
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2010,88,-0.8478700300135138
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2011,89,-0.7259424397467235
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2012,91,-0.6771807299777153
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2013,94,-1.1276167639450152
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2014,97,-1.1046357763521741
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2015,99,-1.0865290868788293
pilot_uniform_depletion_v2,Northern High Plains (High Plains),2016,100,-1.1391250734887095
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2002,114,0.16352282876675756
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2003,113,-0.07308852699010772
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2004,111,-0.16682164921056275
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2005,109,-0.2091050595375297
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2006,105,-0.44538710258925907
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2007,101,-0.8033842184626262
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2008,92,-1.1623845486035849
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2009,88,-1.7047421702748984
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2010,88,-1.6605360880963373
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2011,89,-1.481373294252606
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2012,91,-1.300039727308051
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2013,94,-1.4077027733340426
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2014,97,-1.3685857427919161
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2015,99,-1.2823333337080145
pilot_uniform_depletion_v2,Williston Basin (Northern Great Plains),2016,100,-1.3546126380261816
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2002,114,0.18096939262008038
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2003,113,0.36880194022271423
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2004,111,0.25828531135141497
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2005,109,-0.10078534574644706
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2006,105,-0.5086269361295401
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2007,101,-0.7740461755170291
