aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
13,Northcentral Mega Aquifer System (Mega Aquifer System),2003,1920,0.0104167,-0.671194,True
14,Ozark Plateaus Aquifer System,2003,1920,0.191667,-0.500049,True
15,Western Karoo Basin (Main Karoo Basin),2003,1920,0.497396,-0.00910727,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2003,1920,0.194792,-0.313946,True
17,Northern Mega Aquifer System (Mega Aquifer System),2003,1920,0.133333,-0.472782,True
18,Canning Basin,2003,1920,0.445833,-0.0423451,True
19,Central Karoo Basin (Main Karoo Basin),2003,1920,0.626563,0.11241,True
20,Southern Carpentaria Basin (Great Artesian Basin),2003,1920,0.634375,0.10185,True
21,Eastern Parecis Basin (Parecis Basin),2003,1920,0.189062,-0.255063,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2003,1920,0.397917,-0.133028,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2003,1920,0.600521,0.180993,True
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),2003,1920,0.597917,0.114325,True
25,Dakota Aquifer System,2003,1920,0.493229,-0.0136766,True
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),2003,1920,0.821354,0.291737,True
27,Trans Gangetic Plain (Indo-Gangetic Plain),2003,1920,0.198958,-0.331396,True
28,Southcentral Mega Aquifer System (Mega Aquifer System),2003,1920,0.249479,-0.307972,True
29,Central Mississippi Embayment (Mississippi Embayment),2003,1920,0.160938,-0.561909,True
30,Northern Karoo Basin (Main Karoo Basin),2003,1920,0.565104,0.112331,True
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2003,1920,0.173958,-0.772425,True
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),2003,1920,0.221875,-0.243176,True
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2003,1920,0.131771,-0.348175,True
34,Central Huaihe Plain (Huaihe River Basin),2003,1920,0.0791667,-0.606341,True
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,2003,1920,0.255729,-0.514099,True
36,Southern High Plains (High Plains),2003,1920,0.328125,-0.404939,True
37,Southcentral Karoo Basin (Main Karoo Basin),2003,1920,0.313542,-0.269171,True
