aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),2009,1920,0.85625,0.615270406003686,True
65,Jiangsu Coastal Plain (Huaihe River Basin),2009,1920,0.6067708333333334,0.10329856522066512,True
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2009,1920,0.41822916666666665,-0.15904485740342061,True
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),2009,1920,0.11666666666666667,-0.8043819503336311,True
68,Eastside Middle Indus Plain (Indus Basin),2009,1920,0.09791666666666667,-0.4933800041860284,True
69,Central Allegheny Plateau (Appalachian Plateaus),2009,1920,0.7255208333333333,0.39064742981469,True
70,Northeastern Karoo Basin (Main Karoo Basin),2009,1920,0.22447916666666667,-0.3968392976120344,True
71,Southern Riverine Plains (Murray Basin),2009,1920,0.3177083333333333,-0.2860137187297471,True
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),2009,1920,0.5192708333333333,0.036735421091530704,True
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2010,1920,0.7546875,0.19708886926991998,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2010,1920,0.32083333333333336,-0.12779601381305403,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2010,1920,0.9083333333333333,0.536834698376661,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2010,1920,0.06822916666666666,-0.3484736524854528,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2010,1920,0.0,-1.1553658827903135,False
5,Eastern Eromanga Basin (Great Artesian Basin),2010,1920,0.0,-1.254612823325321,False
6,Northern Eromanga Basin (Great Artesian Basin),2010,1920,0.5307291666666667,0.07326067355915043,True
7,Northern High Plains (High Plains),2010,1920,0.7333333333333333,0.2781838989713509,True
8,Williston Basin (Northern Great Plains),2010,1920,0.1515625,-0.675522286134826,True
9,Central Eromanga Depocenter (Great Artesian Basin),2010,1920,0.05,-1.0443302900776865,True
10,Western Parecis Basin (Parecis Basin),2010,1920,0.9833333333333333,0.8828279652518269,True
11,Upper Gangetic Plain (Indo-Gangetic Plain),2010,1920,0.1375,-0.3716551933126926,True
12,Stampriet Kalahari Karoo Aquifer System,2010,1920,0.10208333333333333,-0.7185891840805693,True
13,Northcentral Mega Aquifer System (Mega Aquifer System),2010,1920,0.5385416666666667,0.03875523641663341,True
14,Ozark Plateaus Aquifer System,2010,1920,0.765625,0.47317516687451733,True
15,Western Karoo Basin (Main Karoo Basin),2010,1920,0.6015625,0.09635825919271065,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2010,1920,0.28541666666666665,-0.23151414037849455,True
17,Northern Mega Aquifer System (Mega Aquifer System),2010,1920,0.46927083333333336,-0.03991193714198998,True
18,Canning Basin,2010,1920,0.3416666666666667,-0.3451038572112328,True
19,Central Karoo Basin (Main Karoo Basin),2010,1920,0.3494791666666667,-0.16421370900011892,True
20,Southern Carpentaria Basin (Great Artesian Basin),2010,1920,0.328125,-0.21155497930117437,True
21,Eastern Parecis Basin (Parecis Basin),2010,1920,0.765625,0.4562793246212637,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2010,1920,0.8473958333333333,0.40854238805016013,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2010,1920,0.0,-1.3966067382516636,False
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),2010,1920,0.1,-0.8475099948641839,True
25,Dakota Aquifer System,2010,1920,0.2552083333333333,-0.3128702737836532,True
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),2010,1920,0.06666666666666667,-0.731005607455993,True
27,Trans Gangetic Plain (Indo-Gangetic Plain),2010,1920,0.1984375,-0.3501986992622914,True
28,Southcentral Mega Aquifer System (Mega Aquifer System),2010,1920,0.4588541666666667,-0.038624551220493956,True
29,Central Mississippi Embayment (Mississippi Embayment),2010,1920,0.8291666666666667,0.7039460356634678,True
30,Northern Karoo Basin (Main Karoo Basin),2010,1920,0.4088541666666667,-0.10131769348802049,True
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2010,1920,0.4942708333333333,-0.008072009996636216,True
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),2010,1920,0.128125,-0.45149520729412085,True
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2010,1920,0.121875,-0.6835858541759847,True
34,Central Huaihe Plain (Huaihe River Basin),2010,1920,0.5776041666666667,0.10626083776789544,True
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,2010,1920,0.22552083333333334,-0.46550683385228053,True
36,Southern High Plains (High Plains),2010,1920,0.8072916666666666,0.4302360857667551,True
37,Southcentral Karoo Basin (Main Karoo Basin),2010,1920,0.37135416666666665,-0.06564180101587522,True
38,Central High Plains (High Plains),2010,1920,0.5921875,0.18018240543312466,True
39,Lower Liaohe River Plain (Liaohe River Basin),2010,1920,0.265625,-0.2942367924831808,True
40,Wadi As-Sirhan Basin,2010,1920,0.5348958333333333,0.02130342773983438,True
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),2010,1920,0.7,0.17002659156000371,True
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),2010,1920,0.8333333333333334,0.730424897966149,True
43,Wisconsin Precambrian Aquifer,2010,1920,0.95625,0.6887421949976712,True
44,Lafayette Area (Gulf Coast Regional Aquifer System),2010,1920,0.9989583333333333,1.2429907443916726,True
45,Paskapoo-Scollard,2010,1920,0.2520833333333333,-0.29880003691922385,True
46,Western Surat Basin (Great Artesian Basin),2010,1920,0.18333333333333332,-1.2257992280191372,True
47,Coonamble Embayment (Great Artesian Basin),2010,1920,0.1,-1.2089777978621297,True
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),2010,1920,0.17395833333333333,-1.117024822236591,True
49,Wuyuer-Shuangyang System (Songnen Plain),2010,1920,0.7359375,0.37888397543658314,True
50,Powder River Basin (Northern Great Plains),2010,1920,0.3104166666666667,-0.32504693536740703,True
51,Central Eucla Basin (Eucla Basin),2010,1920,0.2786458333333333,-0.23540987999333035,True
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),2010,1920,0.8588541666666667,0.43299719861300856,True
53,Michigan Basin,2010,1920,0.5442708333333334,0.06903901689705447,True
54,Southern Piedmont Upland (Piedmont Plateau),2010,1920,0.69375,0.35740668091939987,True
55,Eastern Huaihe Plain (Huaihe River Basin),2010,1920,0.6541666666666667,0.26014088424595716,True
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2010,1920,0.0020833333333333333,-0.8089356072027682,True
57,Eastern Mississippi Embayment (Mississippi Embayment),2010,1920,0.9088541666666666,0.6999749090545122,True
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2010,1920,0.8494791666666667,0.5334730452887604,True
59,Southeastern System (Amadeus Basin),2010,1920,0.0,-1.4285353902059428,False
60,Edwards Plateau (Edwards-Trinity Aquifer System),2010,1920,0.671875,0.33824283752491413,True
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),2010,1920,0.21875,-0.47623058071452645,True
62,Eastside Lower Indus Valley (Indus Basin),2010,1920,0.1625,-0.5202967619162489,True
63,Central Piedmont Upland (Piedmont Plateau),2010,1920,0.7765625,0.32092151229346183,True
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),2010,1920,0.9171875,1.0030651047743637,True
65,Jiangsu Coastal Plain (Huaihe River Basin),2010,1920,0.35572916666666665,-0.14413202859316385,True
