recipe_id,acc_select,acc_holdout
GFZ_131,0.92,0.625
GFZ_134,0.92,0.791666666666667
GFZ_135,0.92,0.75
GFZ_136,0.92,0.791666666666667
GFZ_137,0.92,0.833333333333333
GFZ_138,0.92,0.833333333333333
GFZ_139,0.92,0.791666666666667
GFZ_14,0.92,0.833333333333333
GFZ_140,0.92,0.791666666666667
GFZ_141,0.92,0.791666666666667
GFZ_142,0.92,0.833333333333333
GFZ_143,0.92,0.791666666666667
GFZ_15,0.92,0.875
GFZ_176,0.92,0.833333333333333
GFZ_177,0.92,0.833333333333333
GFZ_178,0.92,0.833333333333333
GFZ_179,0.92,0.833333333333333
GFZ_180,0.92,0.833333333333333
GFZ_182,0.92,0.833333333333333
GFZ_183,0.92,0.833333333333333
GFZ_187,0.92,0.833333333333333
GFZ_188,0.92,0.791666666666667
GFZ_189,0.92,0.833333333333333
GFZ_191,0.92,0.833333333333333
GFZ_2,0.92,0.75
GFZ_220,0.92,0.791666666666667
GFZ_222,0.92,0.791666666666667
GFZ_225,0.92,0.791666666666667
GFZ_226,0.92,0.791666666666667
GFZ_229,0.92,0.833333333333333
GFZ_233,0.92,0.833333333333333
GFZ_235,0.92,0.833333333333333
GFZ_3,0.92,0.75
GFZ_320,0.92,0.625
GFZ_322,0.92,0.625
GFZ_324,0.92,0.625
GFZ_325,0.92,0.625
GFZ_326,0.92,0.625
GFZ_327,0.92,0.666666666666667
GFZ_360,0.92,0.833333333333333
GFZ_361,0.92,0.833333333333333
GFZ_363,0.92,0.791666666666667
GFZ_365,0.92,0.875
GFZ_367,0.92,0.875
GFZ_368,0.92,0.708333333333333
GFZ_369,0.92,0.75
GFZ_371,0.92,0.75
GFZ_373,0.92,0.708333333333333
GFZ_375,0.92,0.708333333333333
GFZ_4,0.92,0.75
GFZ_41,0.92,0.875
GFZ_424,0.92,0.75
GFZ_425,0.92,0.708333333333333
GFZ_426,0.92,0.708333333333333
GFZ_427,0.92,0.708333333333333
GFZ_428,0.92,0.708333333333333
GFZ_429,0.92,0.75
GFZ_43,0.92,0.875
GFZ_430,0.92,0.708333333333333
GFZ_431,0.92,0.75
GFZ_448,0.92,0.666666666666667
GFZ_449,0.92,0.708333333333333
GFZ_45,0.92,0.875
GFZ_450,0.92,0.666666666666667
GFZ_451,0.92,0.666666666666667
GFZ_456,0.92,0.75
GFZ_457,0.92,0.791666666666667
GFZ_458,0.92,0.75
GFZ_459,0.92,0.75
GFZ_46,0.92,0.875
GFZ_460,0.92,0.75
GFZ_461,0.92,0.791666666666667
GFZ_462,0.92,0.75
GFZ_463,0.92,0.75
GFZ_47,0.92,0.875
GFZ_49,0.92,0.833333333333333
GFZ_496,0.92,0.833333333333333
GFZ_497,0.92,0.833333333333333
GFZ_499,0.92,0.833333333333333
GFZ_5,0.92,0.75
GFZ_500,0.92,0.833333333333333
GFZ_501,0.92,0.833333333333333
GFZ_502,0.92,0.833333333333333
GFZ_503,0.92,0.833333333333333
GFZ_51,0.92,0.791666666666667
GFZ_524,0.92,0.791666666666667
GFZ_527,0.92,0.791666666666667
GFZ_53,0.92,0.875
GFZ_544,0.92,0.708333333333333
GFZ_545,0.92,0.708333333333333
GFZ_546,0.92,0.75
GFZ_547,0.92,0.75
GFZ_548,0.92,0.75
GFZ_549,0.92,0.708333333333333
GFZ_55,0.92,0.833333333333333
GFZ_550,0.92,0.708333333333333
GFZ_551,0.92,0.708333333333333
GFZ_6,0.92,0.75
GFZ_7,0.92,0.75
GFZ_8,0.92,0.791666666666667
GFZ_80,0.92,0.791666666666667
GFZ_81,0.92,0.791666666666667
GFZ_82,0.92,0.791666666666667
GFZ_83,0.92,0.75
GFZ_85,0.92,0.75
GFZ_87,0.92,0.75
GFZ_9,0.92,0.833333333333333
GFZ_96,0.92,0.75
GFZ_97,0.92,0.708333333333333
GFZ_98,0.92,0.708333333333333
GFZ_99,0.92,0.708333333333333
JPL_10,0.92,0.75
JPL_11,0.92,0.75
JPL_12,0.92,0.791666666666667
JPL_128,0.92,0.708333333333333
JPL_129,0.92,0.708333333333333
JPL_13,0.92,0.75
JPL_130,0.92,0.708333333333333
JPL_131,0.92,0.708333333333333
JPL_136,0.92,0.791666666666667
JPL_137,0.92,0.791666666666667
JPL_138,0.92,0.791666666666667
JPL_139,0.92,0.791666666666667
