Study_area,term,term_type,frac,ax1,ax2,tier
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),gia_model,main,0.0926854922427375,gia_model,,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),c20_treatment,main,0.0927961454489546,c20_treatment,,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),c30_treatment,main,1.16240862293076e-05,c30_treatment,,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),geocenter,main,0.215923440814315,geocenter,,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),centre x truncation,interaction,0.000646327213219179,centre,truncation,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),centre x filter,interaction,0.00288051173703522,centre,filter,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),centre x gia_model,interaction,8.91115353275465e-13,centre,gia_model,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),centre x c20_treatment,interaction,0.0302381778123813,centre,c20_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),centre x c30_treatment,interaction,6.80400733092423e-07,centre,c30_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),centre x geocenter,interaction,1.03138403860265e-05,centre,geocenter,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),truncation x filter,interaction,0.00240783406958326,truncation,filter,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),truncation x gia_model,interaction,1.87079335816679e-14,truncation,gia_model,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),truncation x c20_treatment,interaction,0.000225754452584182,truncation,c20_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),truncation x c30_treatment,interaction,2.06113581262465e-08,truncation,c30_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),truncation x geocenter,interaction,6.64152614988773e-06,truncation,geocenter,tier1
