Study_area,n_recipes,n_pos,n_neg,min_trend,max_trend,median_trend,frac_pos,frac_neg,sign_agree,spans_zero,tier,area_km2
Central Coromandel Fractured Charnockite and Gneiss Aquifers (Coromandel Coastal Plain),1920,1520,400,-0.169604156828161,0.327595375318676,0.0730170672215846,0.791666666666667,0.208333333333333,0.791666666666667,TRUE,tier2,17492
Southern Odanah Shale,1920,400,1520,-2.80134790513724,0.832297287773469,-0.590142966988729,0.208333333333333,0.791666666666667,0.791666666666667,TRUE,tier2,10541
New Brunswick Carboniferous Basin (Maritimes Basin),1920,1521,399,-0.795525207402708,1.39306328962316,0.396910634595981,0.7921875,0.2078125,0.7921875,TRUE,tier2,19211
Western Karoo Basin (Main Karoo Basin),1920,1532,388,-0.17363094971829,0.262809512698509,0.0706391884285274,0.797916666666667,0.202083333333333,0.797916666666667,TRUE,tier1,146433
Western Paris Basin (Paris Basin),1920,388,1532,-1.01096730584095,0.360255498197609,-0.179654754901706,0.202083333333333,0.797916666666667,0.797916666666667,TRUE,tier2,28758
Mississippi Delta (Gulf Coast Regional Aquifer System),1920,1536,384,-0.468097435506889,0.974525675252437,0.248984215039585,0.8,0.2,0.8,TRUE,tier2,16784
Thal Doab (Indus Basin),1920,384,1536,-1.51972116052257,1.15500992695787,-0.959801213188319,0.2,0.8,0.8,TRUE,tier2,33296
Black Hills Uplift,1920,1548,372,-0.666824647714531,0.98672593426574,0.48879640738389,0.80625,0.19375,0.80625,TRUE,tier2,18954
Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),1920,1552,368,-0.372988630211373,0.53528581188701,0.163550668938176,0.808333333333333,0.191666666666667,0.808333333333333,TRUE,tier1,117926
Umatilla Basin and Horse Heaven Hills (Columbia Plateau Regional Aquifer System),1920,361,1559,-1.07239937671051,0.2785434348183,-0.208826555113574,0.188020833333333,0.811979166666667,0.811979166666667,TRUE,tier2,15408
Southcentral Mega Aquifer System (Mega Aquifer System),1920,344,1576,-0.547202441805537,0.333376182407422,-0.175576451680654,0.179166666666667,0.820833333333333,0.820833333333333,TRUE,tier1,89916
Southern Malwa Plateau (Malwa Plateau),1920,1581,339,-0.265631850667698,2.32360858854489,0.561505906740233,0.8234375,0.1765625,0.8234375,TRUE,tier2,38079
Northern Duero Basin (Duero Basin),1920,321,1599,-0.590223807314714,0.282997710737723,-0.17639877331801,0.1671875,0.8328125,0.8328125,TRUE,tier2,12093
