Study_area,n_recipes,recipe_median,recipe_iqr,recipe_p05,recipe_p95,recipe_range,sd_total,sd_nonfootprint,sd_footprint,iqr_canon_nf,dominance_R,area_km2,resolution_ratio,tier,n_wells,continent,trend_cat,anchor
Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),1920,0.163550668938176,0.161993352748188,-0.220315872523382,0.396236665580276,0.908274442098382,0.183702333636675,0.0612418513384321,0.180182423592536,0.0716488564379965,0.990478081195885,117926,1.07205454545455,tier1,9,S America,deepening,other (new)
Wiso Basin (Daly-Wiso-Georgina Basins),1920,0.409525770672695,0.553607456144634,0.0557698406845857,1.06367244575313,1.3748017234156,0.324602288247308,0.103484242182087,0.317978834704568,0.176410828492926,1.35182568666013,116966,1.06332727272727,tier1,1,Oceania,shallowing,other (new)
Northern Georgina Basin (Daly-Wiso-Georgina Basins),1920,0.41142703356107,0.383334306551278,0.0869738962915625,0.866780945920124,1.04071451466551,0.243262779253345,0.105793096682555,0.228138158416181,0.173235163238133,0.931718811069274,116661,1.06055454545455,tier1,1,Oceania,stable,other (new)
Dakota Aquifer System,1920,0.269654488032693,0.435593326260002,-0.26688369694513,0.671714515964237,1.25998723368365,0.282256295976653,0.264220070174657,0.10796989333313,0.355599215020934,1.61537577007504,110336,1.00305454545455,tier1,49,N America,stable,other (new)
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),1920,-0.16639946075655,0.21837050366366,-0.370178588431724,0.0312798383920503,0.531225721021538,0.127721711290914,0.120431318962645,0.0508554368764787,0.217591439669068,1.3123269911502,107715,0.979227272727273,tier1,30,Oceania,stable,other (new)
Trans Gangetic Plain (Indo-Gangetic Plain),1920,-2.62935643400395,2.7575826280304,-5.9382401127442,-1.2633084720067,5.26560945909538,1.61028946629222,0.112839811948245,1.64803399172033,0.147374875866335,1.04876714026603,100322,0.912018181818182,tier1,422,S Asia,deepening,IGP
Southcentral Mega Aquifer System (Mega Aquifer System),1920,-0.175576451680654,0.281183546054007,-0.453548701979323,0.131965353298905,0.880578624212959,0.182057320749199,0.097556040416805,0.159591342176709,0.13766552677381,1.60148780410163,89916,0.817418181818182,tier1,9,Mid East,deepening,other (new)
Central Mississippi Embayment (Mississippi Embayment),1920,0.157514679435668,0.366312109675703,-0.429285062590486,0.469486365612243,1.35164986192468,0.276619157048284,0.265465865003197,0.0934573845379177,0.338424077036893,2.32557442257509,89580,0.814363636363636,tier1,1844,N America,stable,other (new)
Northern Karoo Basin (Main Karoo Basin),1920,0.168308182130551,0.201092756495759,-0.00375598608124501,0.555232535767966,0.820861320220981,0.167708761888014,0.0733123800994339,0.157463072619818,0.108458264137424,1.19478895173247,89072,0.809745454545455,tier1,33,Africa,deepening,other (new)
Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),1920,0.198257777677928,0.511224539298581,-0.509289794045054,0.64258255455755,1.5884319838761,0.350118115186203,0.304748502332818,0.183882173840258,0.359693612660669,2.57858503856061,87887,0.798972727272727,tier1,91,N America,stable,other (new)
Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),1920,0.190940654233997,0.168927930509616,0.0250804641288555,0.355561273734669,0.54458402593244,0.105179180718636,0.10204137422589,0.0483082569650742,0.160053978934192,0.884714317059979,81429,0.740263636363636,tier1,3,Oceania,stable,other (new)
Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),1920,0.473016268224053,0.234315974686718,0.265517947587133,0.766759544625054,0.751325918373515,0.152977528834768,0.0891060726284229,0.131701552775279,0.124954023286998,0.495365572872284,81286,0.738963636363636,tier1,303,S Asia,deepening,other (new)
Central Huaihe Plain (Huaihe River Basin),1920,-0.380302814072964,0.535285179347928,-1.21789553736991,0.0358425937734363,1.80267454636994,0.376858524713232,0.148260413540729,0.366028131145231,0.149149194822538,1.40752358262916,79573,0.723390909090909,tier1,61,E Asia,deepening,other (new)
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,1920,-0.322508266934809,0.77362904798946,-1.28349315961659,0.496862565470581,2.47888830481858,0.537215678841021,0.419725556379793,0.347901089913418,0.687933199526351,2.39878827089366,75252,0.684109090909091,tier1,256,N America,stable,other (new)
Southern High Plains (High Plains),1920,-1.04739968979984,0.761055812803194,-1.96162135720784,-0.323819125224913,2.37393312802246,0.505773803939358,0.245084994492962,0.457292556136887,0.294938184977864,0.726614510405892,74884,0.680763636363636,tier1,3143,N America,deepening,HP
Southcentral Karoo Basin (Main Karoo Basin),1920,0.0538420201211052,0.161462234901903,-0.224648976297737,0.203939024928703,0.759452513125505,0.133075950957264,0.0846311225551215,0.111726069743949,0.116888887444012,2.99881457899854,72357,0.657790909090909,tier1,56,Africa,deepening,other (new)
Central High Plains (High Plains),1920,-0.925677987272023,1.2059619161669,-2.32156647779278,-0.0841567530026821,2.97694120579492,0.728662062323223,0.274331527938728,0.693582751137845,0.38846996516127,1.30278772180904,71803,0.652754545454546,tier1,1301,N America,deepening,HP
Lower Liaohe River Plain (Liaohe River Basin),1920,0.0190795339737342,0.200861479802645,-0.242803952773361,0.296158681928388,0.781811421669367,0.151675544786861,0.1211999039204,0.0959724556569408,0.16655224706351,10.5275883613908,69968,0.636072727272727,tier1,25,E Asia,stable,other (new)
Wadi As-Sirhan Basin,1920,-0.997607919319854,0.41448179024324,-1.85599423588562,-0.643066524750307,1.59342074324299,0.378827707193997,0.0906175703068809,0.378519090962962,0.148297049112394,0.415475641498339,68037,0.618518181818182,tier1,4,Mid East,deepening,other (new)
Eastern Saq Aquifer (Ram-Saq Aquifer System),1920,-0.903862897409158,0.965533557324288,-2.1620649513938,-0.388394904779783,2.15524678368768,0.590847452405708,0.0841728027462859,0.600453203955343,0.125772518994174,1.06823010446817,67601,0.614554545454546,tier1,29,Mid East,rapidly deepening,other (new)
Trinity Aquifer System (Edwards-Trinity Aquifer System),1920,-0.250586903040339,0.332901585762955,-0.791207085822277,0.0933892598319954,1.16831953066178,0.260669148109057,0.235610877224064,0.118391837102093,0.340092444968083,1.32848756947751,67070,0.609727272727273,tier1,622,N America,stable,other (new)
Wisconsin Precambrian Aquifer,1920,0.480391543281934,0.396122109840085,0.112303458725984,1.04073091838632,1.19879448802645,0.275636711955708,0.271073212184567,0.0648844975676575,0.370513359253587,0.824581771639571,65963,0.599663636363636,tier1,45,N America,stable,other (new)
Lafayette Area (Gulf Coast Regional Aquifer System),1920,0.131208618680273,0.327561688609865,-0.416216877124507,0.522821387008711,1.23441589639622,0.264090458378443,0.23363054322967,0.129707667717902,0.28191212316668,2.49649521429734,65824,0.5984,tier1,431,N America,stable,other (new)
Paskapoo-Scollard,1920,-0.322977990667824,0.57453186473699,-1.01975539009844,0.189990593188528,1.80269575431177,0.375337911872422,0.358214114416203,0.129856413466671,0.518895218051542,1.77885763531139,65768,0.597890909090909,tier1,26,N America,stable,other (new)
Western Surat Basin (Great Artesian Basin),1920,0.0559186726429755,0.213342198439382,-0.117986146819997,0.244039776102477,0.511945484467083,0.121522215392037,0.113086571821621,0.0509106776354101,0.211005771986263,3.81522286484713,65684,0.597127272727273,tier1,109,Oceania,stable,other (new)
Coonamble Embayment (Great Artesian Basin),1920,0.246061382895791,0.224214295135273,0.0228238862975418,0.469635517618571,0.594709564742699,0.139381885541778,0.117305982191282,0.0824097360648447,0.22162212620438,0.911212854681179,65411,0.594645454545455,tier1,792,Oceania,deepening,other (new)
Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),1920,0.153836064560225,0.208481789394366,-0.0325828565407376,0.299022497982951,0.466836752026655,0.115033520825921,0.110563700458992,0.0413945034365391,0.207456141927083,1.35522050691012,64955,0.5905,tier1,217,Oceania,stable,other (new)
Wuyuer-Shuangyang System (Songnen Plain),1920,0.523739257914844,0.444368767514526,0.213536182372437,1.11749749284938,1.384351711537,0.287899402877113,0.128828523046276,0.26621167795511,0.171593674890765,0.848454189368362,63713,0.579209090909091,tier1,19,E Asia,stable,other (new)
Powder River Basin (Northern Great Plains),1920,0.378713261224424,0.542912765860598,-0.400828591221543,0.774588489573576,1.83700893605501,0.374165045676603,0.342170491904123,0.166307256995471,0.427539059888136,1.43357210176718,63642,0.578563636363636,tier1,12,N America,stable,other (new)
Central Eucla Basin (Eucla Basin),1920,-0.102168440629784,0.22820024213939,-0.298743109779625,0.100727942595561,0.600959375724071,0.133907407567561,0.127621251760781,0.0495701788974719,0.226662313115758,2.23356880786986,63315,0.575590909090909,tier1,87,Oceania,stable,other (new)
Rio Grande Delta (Gulf Coast Regional Aquifer System),1920,-0.287591680837426,0.340947981081988,-0.747439396053151,0.112263368498891,1.25182889389969,0.250726571898677,0.205742363602743,0.151109142909083,0.307268141906004,1.18552796829587,62984,0.572581818181818,tier1,159,N America,stable,other (new)
Michigan Basin,1920,0.617960717341416,0.551292201110624,0.0144231232845579,1.29394092693095,1.94378168978926,0.394743921478629,0.280786165875737,0.286326855600736,0.350903748028141,0.892115284418705,62295,0.566318181818182,tier1,56,N America,stable,other (new)
Southern Piedmont Upland (Piedmont Plateau),1920,0.136574924971916,0.379328915291677,-0.432433070378373,0.484605590559516,1.13710199039271,0.267888704806768,0.261410962398506,0.073538065233328,0.376203356211544,2.77744187206895,61856,0.562327272727273,tier1,112,N America,stable,other (new)
Eastern Huaihe Plain (Huaihe River Basin),1920,-0.37385314274233,0.3444609445613,-0.830949855633123,-0.0257782996479016,1.36063508953867,0.253059324412828,0.143332337449268,0.228748301301414,0.151106728016599,0.921380363515391,61827,0.562063636363636,tier1,33,E Asia,stable,other (new)
Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),1920,0.585606441758707,0.259794173264485,0.335699712424653,0.923633489919932,0.898505934048747,0.177214812572877,0.0890744752807842,0.159954019353972,0.127878632301727,0.443632710877062,61216,0.556509090909091,tier1,74,S Asia,deepening,other (new)
Eastern Mississippi Embayment (Mississippi Embayment),1920,0.116473772792321,0.411248281025114,-0.447755148459784,0.441930226972495,1.38765563694644,0.283308178101542,0.26800587063552,0.107431756961141,0.359179671296359,3.53082304424355,60634,0.551218181818182,tier1,170,N America,stable,other (new)
Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),1920,0.189889461300215,0.572346536962762,-0.429620580423842,0.982218057727247,2.06663106289528,0.417028609704354,0.334627310080139,0.262709284427448,0.447267217014027,3.01410374774765,59488,0.5408,tier1,82,N America,stable,other (new)
Southeastern System (Amadeus Basin),1920,-0.305718118846322,0.279368216509263,-0.620158474887749,0.00122605682654137,0.850746722566745,0.191935208504726,0.110747130635014,0.162325613608644,0.2020953136947,0.913809811350092,59372,0.539745454545455,tier1,1,Oceania,deepening,other (new)
Edwards Plateau (Edwards-Trinity Aquifer System),1920,-0.575857367385142,0.336437724008167,-1.06233916021238,-0.139214421913503,1.19164290891646,0.262017902730389,0.212008699271539,0.161802712815735,0.26616064052857,0.584237943391895,58050,0.527727272727273,tier1,342,N America,stable,other (new)
Southcentral Deccan Basalt Plateau (Deccan Plateau),1920,0.632182593004266,0.25906201585858,0.340641966417874,0.895985892732254,0.793053564496637,0.168733096065201,0.0871011257899558,0.150191584759931,0.135923401559661,0.409789859330771,57686,0.524418181818182,tier1,95,S Asia,deepening,other (new)
Eastside Lower Indus Valley (Indus Basin),1920,-0.0224463816567225,0.861302507319861,-0.711211883943829,1.19636842280488,2.41494019730721,0.618525945745471,0.10836011654308,0.625451839918779,0.143152845936574,38.3715522836576,57275,0.520681818181818,tier1,2,S Asia,stable,other (new)
Central Piedmont Upland (Piedmont Plateau),1920,0.0172610091966411,0.435214903549998,-0.588140853162652,0.423479151561508,1.51725662220859,0.314453728228656,0.288521818586171,0.134843943543699,0.419154091333063,25.2137577004876,57273,0.520663636363636,tier1,21,N America,stable,other (new)
Eastern Carrizo-Wilcox (Carrizo-Wilcox),1920,0.0647123105304513,0.363014490773026,-0.486740004112184,0.446941756529263,1.26835552152437,0.272411806956285,0.242625581755776,0.130703927920563,0.322605038590742,5.60966665843594,57217,0.520154545454545,tier1,438,N America,stable,other (new)
Jiangsu Coastal Plain (Huaihe River Basin),1920,0.0253877350755101,0.243936085715941,-0.165173999351645,0.669290593343938,1.35420094101652,0.244914818123476,0.159925062077393,0.219142411870374,0.16547575267409,9.60842253121077,56925,0.5175,tier1,28,E Asia,stable,other (new)
Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),1920,0.432227400416268,0.447985563522772,-0.207000055153918,0.831154041001161,1.44197305399848,0.317770603415603,0.307532007659604,0.101243407163205,0.388205434827805,1.03645803827182,55195,0.501772727272727,tier1,59,N America,stable,other (new)
Northcentral Deccan Basalt Plateau (Deccan Plateau),1920,0.725927795531511,0.378360593812552,0.315756719339912,1.1157889657363,1.08064228921306,0.245818035717905,0.0919533843614551,0.234468856506434,0.129464841120782,0.521209679725135,53372,0.4852,tier1,48,S Asia,deepening,other (new)
Eastside Middle Indus Plain (Indus Basin),1920,-1.33836639147945,0.450842440261714,-1.89387914206401,-0.975487497683542,1.26972160988094,0.28475928232865,0.110204482981815,0.270509096675353,0.169786756958477,0.336860252268697,53045,0.482227272727273,tier1,355,S Asia,stable,other (new)
