Study_area,dominance_R,abs_GRACE_trend,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,tier,resolution_ratio,ai_mean,climate_zone,abs_trend_m_yr
Northeastern Karoo Basin (Main Karoo Basin),2.46384154522495,0.0746846502039183,52358,28.9313496568393,-26.9760298984317,30,-0.05,Africa,stable,other (new),tier1,0.475981818181818,0.482874054890059,semi-arid,0.05
Southern Riverine Plains (Murray Basin),1.46794352607052,0.163764807769406,51599,144.728290085099,-35.9092349551246,4073,0.1,Oceania,stable,other (new),tier1,0.469081818181818,0.297404847970241,semi-arid,0.1
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),4.67035708772512,0.0909482961015654,50216,-87.7797236104302,33.2650588776618,39,0.07,N America,stable,other (new),tier1,0.456509090909091,1.12286483629507,humid,0.07
North Carolina and Virginia Coastal Plain (North Atlantic Coastal Plain),4.85957360301449,0.0924524688761717,49143,-76.915329749291,36.5290758494385,295,-0.01,N America,stable,other (new),tier2,0.446754545454546,0.935169227312936,humid,0.01
Northeastern Deccan Basalt Plateau (Deccan Plateau),0.616949242604844,0.68472721696204,47763,77.8781492982864,20.3356545772136,24,0.03,S Asia,stable,other (new),tier2,0.434209090909091,0.518276341844711,dry sub-humid,0.03
Ribstone Creek and Northern Judith River Aquifer (Bearpaw-Judith River Aquifer System),9.53186486048047,0.0436396488137901,47412,-109.472380353027,52.0371996357195,17,-0.03,N America,stable,other (new),tier2,0.431018181818182,0.439661300171105,semi-arid,0.03
Southern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),0.575057194404719,0.309107436772224,46406,78.154192235137,13.6841666902307,158,0.19,S Asia,deepening,other (new),tier2,0.421872727272727,0.370852716816855,semi-arid,0.19
Northcentral Valley and Ridge (Valley and Ridge Aquifer System),6.75891717937273,0.070616966739873,45635,-80.1484941237429,37.9596472300778,44,-0.04,N America,stable,other (new),tier2,0.414863636363636,1.08475134505527,humid,0.04
Ivanhoe Plains (Murray Basin),2.25379122646194,0.104983609587772,45266,142.411401124616,-33.3311738952935,436,0.02,Oceania,stable,other (new),tier2,0.411509090909091,0.145174346710589,arid,0.02
Southcentral Piedmont Upland (Piedmont Plateau),2.92134014710575,0.153944623790211,44094,-81.5118570447896,34.8515785007175,39,-0.02,N America,stable,other (new),tier2,0.400854545454545,1.00596141887034,humid,0.02
Weipa Depression and Northern Carpentaria Basin (Great Artesian Basin),0.824114089136897,0.192241126250836,43769,142.288985845544,-12.9703163980003,2,-0.05,Oceania,stable,other (new),tier2,0.3979,0.833001072054231,humid,0.05
Western Liaohe River Basin (Liaohe River Basin),2.59432851943283,0.0893183253466108,43494,121.533925001671,43.9110899763379,8,0.38,E Asia,deepening,other (new),tier2,0.3954,0.341833247830362,semi-arid,0.38
Western Carrizo-Wilcox (Carrizo-Wilcox),0.892674203601991,0.509574686027203,43394,-98.9862595478239,28.5827694910784,433,0.17,N America,deepening,other (new),tier2,0.394490909090909,0.36114329111728,semi-arid,0.17
Northern Valley and Ridge (Valley and Ridge Aquifer System),5.77564357066121,0.09182948734336,43020,-77.2888461399212,40.3995187552906,131,0.03,N America,stable,other (new),tier2,0.391090909090909,1.07233724284845,humid,0.03
Eastern Karoo Basin (Main Karoo Basin),1.52372867089803,0.0844130878187499,41725,29.9031844639947,-29.113779897432,12,0.02,Africa,stable,other (new),tier2,0.379318181818182,0.625746542438604,dry sub-humid,0.02
Eastern Paris Basin (Paris Basin),1.00010473870634,0.277089912205492,41666,4.27564681390435,48.4451771777284,129,0,Europe,stable,other (new),tier2,0.378781818181818,0.974235135542788,humid,0
Bari Doab (Indus Basin),0.2648512821337,1.66562463764168,39776,73.2820820740749,30.6925470249885,405,0.12,S Asia,deepening,other (new),tier2,0.3616,0.235087247650298,semi-arid,0.12
Eastern Dakota Aquifer,6.10044955403296,0.073467194333586,39395,-95.2955468340609,42.8087968244255,18,0.08,N America,stable,other (new),tier2,0.358136363636364,0.724879517242484,humid,0.08
Springfield Plain (Central Lowland Till Plain),7.56964524242439,0.0669165367451105,39234,-89.1588615050224,39.2978517189831,23,0,N America,stable,other (new),tier2,0.356672727272727,0.91660701305306,humid,0
Seymour-Blaine Aquifer System,0.647707459070537,0.818282950518137,38612,-99.9692057451864,33.6157087959394,272,0.08,N America,stable,other (new),tier2,0.351018181818182,0.31706218672491,semi-arid,0.08
Central Alluvial-Laucustrine Plain (North China Plain),0.69510464714148,0.659523598946021,38442,115.938641191158,37.848616002158,42,0.23,E Asia,deepening,other (new),tier2,0.349472727272727,0.398346626557042,semi-arid,0.23
Southern Malwa Plateau (Malwa Plateau),2.59614398014617,0.561505906740233,38079,75.8204664621383,23.1624929539849,137,-0.03,S Asia,stable,other (new),tier2,0.346172727272727,0.515541235706458,dry sub-humid,0.03
Yellow River Alluvial Plain (North China Plain),1.02612728287776,0.651293334600058,37315,116.287992642712,36.5931906592635,23,0.05,E Asia,stable,other (new),tier2,0.339227272727273,0.481676514395535,semi-arid,0.05
Eastern Armorican Massif (Armorican Massif),3.12049853041961,0.102961911366663,36418,-1.11346010627749,47.7687061073468,96,-0.01,Europe,stable,other (new),tier2,0.331072727272727,0.957528738061563,humid,0.01
Ocala Uplift (Floridan Aquifer System),1.44260412490093,0.279396951425407,35660,-82.9089223254563,29.4989931826218,393,-0.02,N America,stable,other (new),tier2,0.324181818181818,0.944244277461487,humid,0.02
Pearl and Chattahoochee Aquifer System,2.25449903526724,0.164061268987822,35594,-85.0295963314557,32.0111247359475,50,0,N America,stable,other (new),tier2,0.323581818181818,0.977972173735309,humid,0
Eastern Mekong Delta (Mekong Delta),1.00790941487096,0.15292782581921,35001,106.072169079987,10.8084141017756,28,0.12,Other,deepening,other (new),tier2,0.318190909090909,1.04223597072234,humid,0.12
Jianghan Plain,1.02749316334413,0.282928549897152,34644,113.047724326431,30.5424370140777,5,-0.27,E Asia,shallowing,other (new),tier2,0.314945454545455,1.08434972071803,humid,0.27
Middle-Upper Devonian Aquifer System (Baltic Artesian Basin),6.68847353666789,0.0520159021708567,34615,25.371307747855,56.5557015444887,15,0.01,Europe,stable,other (new),tier2,0.314681818181818,1.06334637828482,humid,0.01
Upper Cauvery Banded Gneiss Aquifers (Dharwar Craton Banded Gneiss Complex),0.685599055378871,0.301158045047703,34251,76.6785790696552,12.5787764282143,220,0.24,S Asia,deepening,other (new),tier2,0.311372727272727,0.641019583861222,dry sub-humid,0.24
Western Mississippi Embayment (Mississippi Embayment),2.0448591095667,0.18084193322259,34240,-92.6804220015725,33.2034464831002,325,-0.07,N America,stable,other (new),tier2,0.311272727272727,1.05950252463829,humid,0.07
Southern Hills (Gulf Coast Regional Aquifer System),1.5209456587049,0.219211808470735,34191,-90.6967901820705,31.0362802812755,224,-0.02,N America,stable,other (new),tier2,0.310827272727273,1.22618812819741,humid,0.02
Lake Frome Embayment (Great Artesian Basin),23.6327268043876,0.00945168371125271,34046,140.669051781985,-30.4510308039095,1,-0.55,Oceania,rapidly shallowing,other (new),tier2,0.309509090909091,0.0758709784591332,arid,0.55
Peedee and Black Creek and Cape Fear Aquifers,2.4683552022831,0.193004268332743,34016,-79.0868748846242,34.2495190662819,76,0,N America,stable,other (new),tier2,0.309236363636364,0.947483563587796,humid,0
Western Brahmaputra Basin Aquifer (Brahmaputra Basin Aquifer),0.382686490103477,0.838096611757188,33634,91.4743387881075,26.3890316580273,10,0.08,S Asia,stable,other (new),tier2,0.305763636363636,1.85744706325301,humid,0.08
Roma Shelf and Northern Surat Basin (Great Artesian Basin),1.59746535982273,0.127432721849597,33598,149.057430358833,-25.7199708097448,41,0,Oceania,stable,other (new),tier2,0.305436363636364,0.364729761904762,semi-arid,0
Thal Doab (Indus Basin),0.83075336198736,0.959801213188319,33296,71.5088675519682,31.3138542455972,177,-0.02,S Asia,stable,other (new),tier2,0.302690909090909,0.146570443284667,arid,0.02
Stockton Plateau (Edwards-Trinity Aquifer System),0.529167848900569,0.624291197781252,33245,-102.54181282745,30.328953406564,127,0,N America,stable,other (new),tier2,0.302227272727273,0.165457937744923,arid,0
Rechna Doab (Indus Basin),0.266366781747825,1.55933072221571,32700,73.6080780903724,31.6842721075158,430,-0.06,S Asia,stable,other (new),tier2,0.297272727272727,0.351792059204358,semi-arid,0.06
