Study_area,dominance_R,abs_GRACE_trend,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,tier,resolution_ratio,ai_mean,climate_zone,abs_trend_m_yr
Milk River,8.08222052630411,0.0457654108101253,22986,-111.188050228809,49.0151517402488,9,-0.01,N America,stable,other (new),tier2,0.208963636363636,0.299277251720747,semi-arid,0.01
Shawnee Hills (Interior Low Plateaus),4.19479561036366,0.100477597846299,22911,-87.36182603342,37.4392406434165,37,-0.04,N America,stable,other (new),tier2,0.208281818181818,1.06687687427397,humid,0.04
Sea Island (Floridan Aquifer System),1.53453286646208,0.273095484564958,22877,-81.6896918772985,31.0445003798034,244,-0.07,N America,stable,other (new),tier2,0.207972727272727,0.912138543807811,humid,0.07
Missionary Plains Syncline and Mereenie Anticline (Amadeus Basin),1.25620062731568,0.285182975737581,22819,132.664861664345,-23.8560610782384,14,0.26,Oceania,deepening,other (new),tier2,0.207445454545455,0.132405337821592,arid,0.26
Flint Hills Upland (Osage Cuestas Aquifer System),44.2045618051907,0.0096450416346667,22649,-96.8848054356041,38.2376941088952,21,0,N America,stable,other (new),tier2,0.2059,0.598297532924141,dry sub-humid,0
Northwestern Malwa Plateau (Malwa Plateau),5.95327834186478,0.224857418799036,22557,76.0447634558698,24.0828991344529,79,-0.1,S Asia,stable,other (new),tier2,0.205063636363636,0.477925169053646,semi-arid,0.1
Sundarbans and Southern Delta (Bengal Basin),1.35235072888816,0.095302190236946,22556,89.3739310803888,22.1523761737762,4,0.02,S Asia,stable,other (new),tier2,0.205054545454545,1.25731757588548,humid,0.02
Transboundary Judith River Aquifer (Bearpaw-Judith River Aquifer System),1.78222739708472,0.244524048749842,22275,-108.670772163027,48.7510915889029,5,0.02,N America,stable,other (new),tier2,0.2025,0.305747985824282,semi-arid,0.02
Middle Chao Phraya Basin,1.11076928444096,0.351812459537909,22178,100.022991389885,16.4899964525028,47,0.33,E Asia,deepening,other (new),tier2,0.201618181818182,0.752884566416226,humid,0.33
Northern Mallee (Murray Basin),16.2161951210014,0.0144082428387808,21895,140.43175201208,-33.3730645430265,1,-0.01,Oceania,stable,other (new),tier2,0.199045454545455,0.129153541503011,arid,0.01
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),2.3929952746294,0.166185551391624,21894,-87.780971883268,31.0255443068748,2,0.03,N America,stable,other (new),tier2,0.199036363636364,1.18786690848027,humid,0.03
Pecos Valley,0.413006743364837,0.839338662866549,21799,-103.448569341331,31.8850635373365,170,0.01,N America,stable,other (new),tier2,0.198172727272727,0.144408263689243,arid,0.01
Eastern Deccan Basalt Plateau (Deccan Plateau),0.39836093691931,0.723498523422999,21575,76.8436264607585,18.3078322093693,48,0.08,S Asia,stable,other (new),tier2,0.196136363636364,0.47290196699073,semi-arid,0.08
Lachlan Alluvium,0.985004470686833,0.351772500280997,21569,147.645145042909,-33.6498258400413,249,0.17,Oceania,deepening,other (new),tier2,0.196081818181818,0.325158471320705,semi-arid,0.17
Devonian and Overlying Unconsolidated Aquifers (Southern Ontario Paleozoic Aquifer System),1.01513178082146,0.557887027685607,21440,-81.4299339253131,43.1360704767627,70,-0.03,N America,stable,other (new),tier2,0.194909090909091,1.2049792360603,humid,0.03
Nanyang Basin,3.34899457098166,0.0774538837080081,21139,112.477532426026,32.672718534503,14,0.28,E Asia,deepening,other (new),tier2,0.192172727272727,0.866319005807995,humid,0.28
Newcastle Till Plain (Central Lowland Till Plain),6.40814170430636,0.0817069261428778,20988,-84.9653228944852,39.7370229167444,144,0,N America,stable,other (new),tier2,0.1908,1.01456276813557,humid,0
Southern Mekong Delta (Mekong Delta),0.988303643376286,0.217282170606987,20929,105.342563522683,9.63977159088967,8,0.03,Other,stable,other (new),tier2,0.190263636363636,1.30441438703957,humid,0.03
Northern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),1.21300086791841,0.312973057940391,20460,-88.8479271477291,44.1922696164814,80,-0.06,N America,stable,other (new),tier2,0.186,0.913673101513963,humid,0.06
Wimmera Plain (Murray Basin),9.93072280366655,0.0243948223893581,20408,142.380016155552,-36.2617875066294,345,0.01,Oceania,stable,other (new),tier2,0.185527272727273,0.263738994436151,semi-arid,0.01
Ghaap Plateau Dolomite Aquifer System,1.08535137169048,0.139747033074988,20319,23.8326718869331,-27.811212235134,56,0.03,Africa,stable,other (new),tier2,0.184718181818182,0.232321615263983,semi-arid,0.03
Bighorn Basin,8.97354868576032,0.0596912261930655,20257,-108.240833017144,44.24350582403,3,0.02,N America,stable,other (new),tier2,0.184154545454545,0.222041545996593,semi-arid,0.02
Northern San Juan Basin,0.757458712379264,0.465127952825594,20120,-107.632843932013,36.7070348260925,15,0.01,N America,stable,other (new),tier2,0.182909090909091,0.290337981444075,semi-arid,0.01
Southwestern Bengal Basin (Bengal Basin),1.15367672752918,0.132323456723776,20073,87.5061839562907,22.5423331742716,3,0.01,S Asia,stable,other (new),tier2,0.182481818181818,0.905006959880192,humid,0.01
Central Carrizo-Wilcox (Carrizo-Wilcox),1.34624376354104,0.308834189720395,19641,-96.5240695305896,30.8413814680714,313,0.05,N America,stable,other (new),tier2,0.178554545454545,0.649664721545097,dry sub-humid,0.05
Northern Pitted Karst Plain (Yucatan Peninsula),1.92183597717525,0.144550135190158,19270,-88.3274435956206,20.4870674847273,4,-0.05,N America,stable,other (new),tier2,0.175181818181818,0.743212502602107,humid,0.05
New Brunswick Carboniferous Basin (Maritimes Basin),1.71133721295228,0.396910634595981,19211,-65.319872710573,46.7494416959267,4,0.01,N America,stable,other (new),tier2,0.174645454545455,1.66585870005524,humid,0.01
Madhupur Tract and Eastern Floodplains (Bengal Basin),0.426976201592451,0.617897098667353,19207,90.231757640432,24.3910861504621,70,0.08,S Asia,stable,other (new),tier2,0.174609090909091,1.55390691139446,humid,0.08
Southwestern Allegheny Plateau (Appalachian Plateaus),3.09980644782237,0.157405477582506,19131,-83.0098459455051,38.6635047231999,28,-0.03,N America,stable,other (new),tier2,0.173918181818182,1.06651080730536,humid,0.03
Black Hills Uplift,1.07665387947977,0.48879640738389,18954,-103.986911103727,44.1942796097682,23,-0.08,N America,stable,other (new),tier2,0.172309090909091,0.37099772520177,semi-arid,0.08
Central Pilbara Granite-Greenstone Terrane (Pilbara Craton),0.843036913020118,0.364968328341548,18871,118.900912595016,-21.0493852023953,2,0.14,Oceania,deepening,other (new),tier2,0.171554545454545,0.124861006395866,arid,0.14
Northwestern Deccan Basalt Plateau (Deccan Plateau),0.716666861424541,0.851690148643577,18659,74.9951751802546,20.7419479425779,4,0,S Asia,stable,other (new),tier2,0.169627272727273,0.344630236051502,semi-arid,0
Dougherty Plain and Marianna Lowlands (Floridan Aquifer System),1.65932230987785,0.221022453268593,18608,-85.2144952253135,31.0951464416985,246,-0.02,N America,stable,other (new),tier2,0.169163636363636,1.0330834024241,humid,0.02
Lower Coastal Plain (Floridan Aquifer System),1.8789166136764,0.237229453559597,18560,-80.4898440418638,32.9040200071564,47,-0.01,N America,stable,other (new),tier2,0.168727272727273,0.895475183416793,humid,0.01
Lannemezan Plateau (Aquitaine Basin),2.74191645338472,0.10037237648837,18348,0.22103288398314,43.5746898383768,94,0,Europe,stable,other (new),tier2,0.1668,1.19759603193477,humid,0
Springbok Flats Karoo Basin,7.28734265434487,0.0184160581077741,18345,28.3659013272095,-25.098442260885,19,0.07,Africa,stable,other (new),tier2,0.166772727272727,0.345237647456767,semi-arid,0.07
Southcentral Valley and Ridge (Valley and Ridge Aquifer System),4.80374342240278,0.0847101737265817,18344,-83.6469814337201,36.0860059399586,1,-0.11,N America,shallowing,other (new),tier2,0.166763636363636,1.16834401392463,humid,0.11
Northcentral Piedmont Plain (North China Plain),0.640289962004395,0.704660016171799,18327,115.041681542085,38.196240585855,23,0.75,E Asia,rapidly deepening,other (new),tier2,0.166609090909091,0.400797631675875,semi-arid,0.75
North-central High Plains (High Plains),1.26407745012141,0.540288421339857,18173,-101.257097247437,38.3826364603785,221,0.2,N America,deepening,HP,tier2,0.165209090909091,0.277245902551172,semi-arid,0.2
Great Bend Prairie (High Plains),1.46101555545919,0.469504597008362,18167,-98.7961631566374,37.8956612529131,358,0.05,N America,stable,HP,tier2,0.165154545454545,0.410406172286322,semi-arid,0.05
Delmarva Peninsula (North Atlantic Coastal Plain),52.5758654686185,0.00946668382322355,18153,-75.7220325913821,38.5740192382136,294,-0.01,N America,stable,other (new),tier2,0.165027272727273,0.803414071169638,humid,0.01
Denver Basin,5.23324057069021,0.0874601984136884,18104,-104.473753620156,39.5436284095662,185,0.01,N America,stable,other (new),tier2,0.164581818181818,0.26286622858398,semi-arid,0.01
Eastern Second Songhuajiang System (Songnen Plain),0.883359774831986,0.444762160742099,18076,126.777183347546,45.3103105285128,4,0.06,E Asia,stable,other (new),tier2,0.164327272727273,0.582939546717552,dry sub-humid,0.06
Western Bengal Basin (Bengal Basin),0.362774688390294,0.432943801514614,18026,88.0926184198211,23.6437880489606,119,0.28,S Asia,deepening,other (new),tier2,0.163872727272727,0.940302032821138,humid,0.28
Eastern Otway Basin (Otway Basin),25.3068591564429,0.00991296962382477,17980,143.592476123422,-38.1015120358989,304,0.03,Oceania,stable,other (new),tier2,0.163454545454545,0.632223076923077,dry sub-humid,0.03
Western Allegheny Plateau (Appalachian Plateaus),6.18763980354123,0.0830587279556995,17977,-81.7384853543169,40.3690026461861,24,-0.02,N America,stable,other (new),tier2,0.163427272727273,1.02056591745292,humid,0.02
Laizhou Coastal Plain,0.711610382742586,0.348203582165406,17871,118.971857691245,36.9535472508468,10,-0.06,E Asia,stable,other (new),tier2,0.162463636363636,0.513653914078397,dry sub-humid,0.06
Central Coromandel Fractured Charnockite and Gneiss Aquifers (Coromandel Coastal Plain),1.67125206967558,0.0730170672215846,17492,79.462808418888,12.3190028570273,110,0.17,S Asia,deepening,other (new),tier2,0.159018181818182,0.561436404494382,dry sub-humid,0.17
Intermediate Aquifer (Floridan Aquifer System),1.68052848297883,0.241811729875531,17405,-81.9288116583228,27.407039799312,388,-0.01,N America,stable,other (new),tier2,0.158227272727273,0.774995572552448,humid,0.01
Malm Valangnian Aquifer,0.4767413699387,0.502609192703455,17275,27.1901232551705,43.7317197374005,16,0.03,Europe,stable,other (new),tier2,0.157045454545455,0.564816928779645,dry sub-humid,0.03
Southwestern Khorat Plateau (Khorat Plateau Aquifer System),0.84958735587935,0.303625587568337,17185,102.809561064045,14.8316077241398,2,0.27,Other,deepening,other (new),tier2,0.156227272727273,0.717811070981412,humid,0.27
Western Cambay Basin (Cambay Basin),8.43610506520325,0.0362928470746773,17184,71.8775807146866,23.1007697912058,47,0.01,S Asia,stable,other (new),tier2,0.156218181818182,0.281046236411174,semi-arid,0.01
Western Pilbara Granite-Greenstone Terrane (Pilbara Craton),0.832799172184575,0.334028302427851,16960,117.599144705425,-21.0360137559946,9,0.03,Oceania,stable,other (new),tier2,0.154181818181818,0.118947862361537,arid,0.03
Mississippi Delta (Gulf Coast Regional Aquifer System),1.35354653675824,0.248984215039585,16784,-90.446899132075,29.640967786361,4,0.07,N America,stable,other (new),tier2,0.152581818181818,1.0526045177913,humid,0.07
Central Cambay Basin (Cambay Basin),6.92632351039288,0.0423808865763603,16772,72.2805606755821,23.5952646658308,97,0.05,S Asia,stable,other (new),tier2,0.152472727272727,0.316942419702219,semi-arid,0.05
Eastern Duero Basin (Duero Basin),1.14124084721222,0.259377064789232,16257,-3.61403822882469,41.6740462001012,63,-0.04,Europe,stable,other (new),tier2,0.147790909090909,0.394009890196698,semi-arid,0.04
Eastern Pennyroyal Plateau (Interior Low Plateaus),6.41723217974096,0.0628923946021055,16219,-85.435792476196,37.1861673810257,31,-0.1,N America,stable,other (new),tier2,0.147445454545455,1.17355137734655,humid,0.1
Gunnedah Basin and Liverpool Plains,0.889820046920046,0.279048604191909,16086,150.327695016195,-31.1117394597993,649,0.05,Oceania,stable,other (new),tier2,0.146236363636364,0.431825937599927,semi-arid,0.05
Northern Piedmont Upland (Piedmont Plateau),50.2596169490037,0.00979171920166036,15989,-75.3047874727955,40.314279032376,261,0,N America,stable,other (new),tier2,0.145354545454545,1.12174448042632,humid,0
Lower Athabasca (Lower Athabasca Basin),3.84754416833467,0.354866701777795,15814,-111.367288764698,57.3841547539868,12,0.03,N America,stable,other (new),tier2,0.143763636363636,0.645079608765995,dry sub-humid,0.03
Southern Nuomin-Taoer System (Songnen Plain),0.84246488981834,0.527976674562989,15583,122.824079140869,45.8153375220725,9,0.04,E Asia,stable,other (new),tier2,0.141663636363636,0.35886148336414,semi-arid,0.04
Umatilla Basin and Horse Heaven Hills (Columbia Plateau Regional Aquifer System),1.88625058067789,0.208826555113574,15408,-119.408014272445,45.6688196390803,16,-0.02,N America,stable,other (new),tier2,0.140072727272727,0.279295565444822,semi-arid,0.02
Palouse Slope (Columbia Plateau Regional Aquifer System),1.30122852611809,0.317614482237455,15260,-117.826960157103,46.8060807258855,3,-0.01,N America,stable,other (new),tier2,0.138727272727273,0.391506283329469,semi-arid,0.01
Letaba Lowveld,0.517494072886394,0.24965464173284,15251,30.7339120608753,-23.4005040065606,16,0.29,Africa,deepening,other (new),tier2,0.138645454545455,0.410969965993405,semi-arid,0.29
Landes Plain (Aquitaine Basin),5.45892429512071,0.0550634076333953,15042,-0.716104650479007,44.3981056229811,381,0.02,Europe,stable,other (new),tier2,0.136745454545455,1.13621144935235,humid,0.02
Transboundary Odanah Shale,3.96083660707731,0.204075643926028,14918,-98.9555861231715,48.9441997003454,32,-0.01,N America,stable,other (new),tier2,0.135618181818182,0.60158554029443,dry sub-humid,0.01
Northern Hirri Basin (Chhattisgarh Basin),1.66886833837899,0.199137662390674,14830,81.8369197026748,21.7876259009778,82,0.1,S Asia,stable,other (new),tier2,0.134818181818182,0.71645869297164,humid,0.1
Western Second Songhuajiang System (Songnen Plain),0.917477325197049,0.379808253603937,14776,125.263168962489,44.3501220575193,3,0.64,E Asia,rapidly deepening,other (new),tier2,0.134327272727273,0.553172094766207,dry sub-humid,0.64
Tifton Upland (Floridan Aquifer System),1.62547691101338,0.23631715913206,14658,-83.6775157078619,31.1388621121427,76,-0.02,N America,stable,other (new),tier2,0.133254545454545,0.944197415088668,humid,0.02
South-central High Plains (High Plains),1.28107150875342,1.01874331780405,14464,-100.853656027774,35.438446422466,982,0.09,N America,stable,HP,tier2,0.131490909090909,0.296020612678779,semi-arid,0.09
Northern Khorat Plateau (Khorat Plateau Aquifer System),1.64726212526404,0.127476283706611,14425,103.372808614162,16.4360183051617,15,0.02,E Asia,stable,other (new),tier2,0.131136363636364,0.769518070574844,humid,0.02
Hill Country (Edwards-Trinity Aquifer System),0.835767604434616,0.524733117562595,14375,-98.8597279179865,29.9176401364107,365,0.17,N America,deepening,other (new),tier2,0.130681818181818,0.47516569818539,semi-arid,0.17
Northern St. Lawrence Lowlands (St. Lawrence Lowlands),0.739915331716851,0.830570275231117,14318,-72.3341043344664,46.2306467586437,27,0,N America,stable,other (new),tier2,0.130163636363636,1.41324300037442,humid,0
Chicxulub Sedimentary Basin (Yucatan Peninsula),1.60584914883538,0.164396011139415,14250,-89.3121637816177,20.9576313031215,10,0,N America,stable,other (new),tier2,0.129545454545455,0.587274772854739,dry sub-humid,0
West Jutland Quaternary and Tertiary Sand Aquifer System,0.760941202241843,0.391870921215748,14018,8.84533041937349,55.7349078154465,180,0,Europe,stable,other (new),tier2,0.127436363636364,1.28723125844331,humid,0
South Platte Basin,4.11788597741506,0.120422367825412,13779,-104.111200634492,40.4177602835806,15,-0.02,N America,stable,other (new),tier2,0.125263636363636,0.24902541189877,semi-arid,0.02
North Rewa Basin (Son-Mahandai Valley Basins),3.63110130543224,0.095930103422581,13718,81.5808866899741,23.7673085861496,38,0.03,S Asia,stable,other (new),tier2,0.124709090909091,0.719368912509286,humid,0.03
Southern Coromandel Fractured Charnockite and Gneiss Aquifers (Coromandel Coastal Plain),1.64157149408932,0.0759148569147118,13538,77.801439735012,9.1677143661248,92,0.35,S Asia,deepening,other (new),tier2,0.123072727272727,0.426227179327522,semi-arid,0.35
Chaj Doab (Indus Basin),0.306377925139529,1.24475014707544,13536,73.0980975292621,32.2140172120545,254,-0.05,S Asia,stable,other (new),tier2,0.123054545454545,0.341847550648515,semi-arid,0.05
Rush Springs Aquifer,1.04450180448883,0.709690354144403,13372,-98.7266688831357,35.5306736704541,68,0.02,N America,stable,other (new),tier2,0.121563636363636,0.430878836310457,semi-arid,0.02
Silurian and Overlying Unconsolidated Aquifers (Southern Ontario Paleozoic Aquifer System),1.38462775680143,0.480604697968139,13360,-80.5624824857224,43.8847678204683,69,-0.02,N America,stable,other (new),tier2,0.121454545454545,1.31434636355192,humid,0.02
Bangkok Basin (Lower Chao Phraya Basin),0.700069084046886,0.555738426351365,13316,100.405228688274,14.0780065659038,72,-0.16,Other,shallowing,other (new),tier2,0.121054545454545,0.706189278594568,humid,0.16
Gypsum Hills,1.39156712802856,0.747661131310711,13266,-99.310938717184,37.0166321728233,10,0.09,N America,stable,other (new),tier2,0.1206,0.366452987697715,semi-arid,0.09
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),0.999768201273231,0.223389811008233,13238,151.593601476623,-27.5630977841621,488,0.02,Oceania,stable,other (new),tier2,0.120345454545455,0.437393597473442,semi-arid,0.02
Hetao Basin,0.70644136357688,0.348682395156122,13190,107.605846789838,40.9014690712404,1,0.09,E Asia,stable,other (new),tier2,0.119909090909091,0.115813041122876,arid,0.09
Western C Aquifer (The C Aquifer),0.794223649441875,0.490456083279394,13082,-110.98592677553,35.0358836644391,17,0.03,N America,stable,other (new),tier2,0.118927272727273,0.216339796905222,semi-arid,0.03
Arrowsmith and Dandaragan Plateau (Perth Basin),16.6210920184031,0.0140101173372378,12802,115.487572416194,-29.8988169713564,131,-0.11,Oceania,shallowing,other (new),tier2,0.116381818181818,0.247235006681773,semi-arid,0.11
Gambier Embayment (Otway Basin),14.4021908062119,0.0174048050751409,12773,140.563682469014,-37.4369856840861,758,0.03,Oceania,stable,other (new),tier2,0.116118181818182,0.559321427045503,dry sub-humid,0.03
Northern Columbia River Basin (Columbia Plateau Regional Aquifer System),1.24280373256669,0.4123189884672,12773,-118.968281906879,47.6276435592805,9,0.05,N America,stable,other (new),tier2,0.116118181818182,0.278750238560458,semi-arid,0.05
San Luis Valley (Middle Rio Grande),0.802228127244445,0.534393054399906,12667,-105.83278241629,37.3048462578882,305,0.04,N America,stable,other (new),tier2,0.115154545454545,0.216763889338295,semi-arid,0.04
Southern Cumberland Plateau - Pottsville Aquifer (Appalachian Plateaus),3.80797624437723,0.100139394436657,12662,-87.1265097928522,33.9411833660818,2,-0.04,N America,stable,other (new),tier2,0.115109090909091,1.21078692030617,humid,0.04
Sylhet Basin (Bengal Basin),0.346067805735421,0.549451832020706,12618,91.2135821897053,24.6479839312452,21,0.08,S Asia,stable,other (new),tier2,0.114709090909091,2.11478069493304,humid,0.08
Tuli Karoo Aquifer,1.09044724892876,0.192708056886358,12618,29.3732953716205,-21.9543689599799,2,-0.08,Africa,stable,other (new),tier2,0.114709090909091,0.213220889420053,semi-arid,0.08
Antlers Aquifer,16.5709573594416,0.0253297220523961,12607,-95.7710622983025,33.984843288047,24,0.07,N America,stable,other (new),tier2,0.114609090909091,0.805283659872396,humid,0.07
New Jersey Coastal Plain (North Atlantic Coastal Plain),5.67169357497016,0.0857415697205733,12554,-74.7077232294855,39.7488866627637,1007,-0.05,N America,stable,other (new),tier2,0.114127272727273,0.97134695231077,humid,0.05
Upper Deschutes Basin,1.46806925876105,0.355991988502055,12455,-121.308471479175,44.0977479439721,24,0.09,N America,stable,other (new),tier2,0.113227272727273,0.498593087534736,semi-arid,0.09
Southwestern Flatwoods (Floridan Aquifer System),2.28005594127382,0.153310739863033,12393,-81.3314414199494,26.2352413794052,207,0,N America,stable,other (new),tier2,0.112663636363636,0.78773104283054,humid,0
Central Cumberland Plateau and Sequatchie Valley (Appalachian Plateaus),2.19626309664235,0.168082316783524,12392,-85.7653915924238,35.0657257512409,2,0.01,N America,stable,other (new),tier2,0.112654545454545,1.35087842036628,humid,0.01
Eastern Malwa Plateau Alluvial Aquifer (Malwa Plateau),0.891920780313738,1.62355208893501,12262,75.7556858466488,26.5562789874371,26,-0.4,S Asia,shallowing,other (new),tier2,0.111472727272727,0.337211588492808,semi-arid,0.4
Northern Duero Basin (Duero Basin),1.49423255955227,0.17639877331801,12093,-4.74547075604125,42.1145864684633,63,-0.04,Europe,stable,other (new),tier2,0.109936363636364,0.466905409256425,semi-arid,0.04
Central Littoral Plain (North China Plain),0.645039748681954,0.340059203353199,11974,117.374034846981,38.7366603850514,20,0.11,E Asia,deepening,other (new),tier2,0.108854545454545,0.404385821438567,semi-arid,0.11
Red River Delta,0.65555706259901,0.332732669961562,11968,106.106881680301,20.7389018319852,24,0.09,E Asia,stable,other (new),tier2,0.1088,1.44416116017664,humid,0.09
Tipton Till Plain (Central Lowland Till Plain),31.2228807055949,0.0159382908720831,11793,-86.5547581416635,40.1233094772451,15,-0.01,N America,stable,other (new),tier2,0.107209090909091,1.02790734941773,humid,0.01
Upper Carbonate Aquifer (Northern Midwest Aquifer System),4.31608013252108,0.123401125803244,11793,-93.1882370554393,43.5435950917478,7,0,N America,stable,other (new),tier2,0.107209090909091,0.862090994559764,humid,0
Northern Saurashtra Deccan Trap Basalts (Saurashtra Deccan Trap Basalts),10.6678038705371,0.0343197871739189,11532,70.3996781819493,22.4396684573324,1,0.2,S Asia,deepening,other (new),tier2,0.104836363636364,0.278701860624785,semi-arid,0.2
Kurnool Basin (Cuddapah Sedimentary Basin),0.418564360998835,0.431610501850385,11364,78.427702007835,15.3385753300893,17,0.23,S Asia,deepening,other (new),tier2,0.103309090909091,0.359858040638607,semi-arid,0.23
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),1.16126395683065,0.305891566366434,11209,-94.6641530199983,17.7614620123886,24,-0.01,N America,stable,other (new),tier2,0.1019,1.50857613851302,humid,0.01
Northern Nuomin-Taoer System (Songnen Plain),0.761522320270659,0.644088294521193,10909,123.663389081566,47.5566918867155,1,-0.02,E Asia,stable,other (new),tier2,0.0991727272727273,0.430741666666667,semi-arid,0.02
Hatfield Valley,21.783250268712,0.0329216958769692,10899,-104.921602164253,51.5253044544494,4,-0.04,N America,stable,other (new),tier2,0.0990818181818182,0.503499079996064,dry sub-humid,0.04
Northcentral Coromandel Schist Aquifers (Coromandel Coastal Plain),0.388778842109914,0.285872815165996,10679,79.6619854741136,14.5856253860161,13,0.28,S Asia,deepening,other (new),tier2,0.0970818181818182,0.464832588800993,semi-arid,0.28
Alsatian Aquifer and Upper Rhine Valley,0.810431160856281,0.352424016413597,10659,7.95623673393674,48.8429119615276,183,0.01,Europe,stable,other (new),tier2,0.0969,0.957312776478094,humid,0.01
Southern Odanah Shale,2.08084563038977,0.590142966988729,10541,-100.906382645206,49.5860139361486,78,-0.03,N America,stable,other (new),tier2,0.0958272727272727,0.575273748344371,dry sub-humid,0.03
Eastern Satpura Basalt Aquifers (Satpura Basalts),0.806225839934406,0.815431265370597,10338,77.5234123312215,21.6201376229411,10,0.15,S Asia,deepening,other (new),tier2,0.0939818181818182,0.642169906872932,dry sub-humid,0.15
Southern Hirri Basin (Chhattisgarh Basin),1.02921875590612,0.313543945588075,10335,81.4332041123891,21.0487906694355,64,0.06,S Asia,stable,other (new),tier2,0.0939545454545455,0.758913264753655,humid,0.06
Limpopo Plateau,1.03232275017856,0.132756974898241,10209,29.4147753556136,-23.4950583076585,35,0.09,Africa,stable,other (new),tier2,0.0928090909090909,0.414587746153846,semi-arid,0.09
Southeastern Bengal Basin (Bengal Basin),0.561080038923082,0.350693181698746,10016,90.9990416022847,23.2118588774846,29,0.04,S Asia,stable,other (new),tier2,0.0910545454545455,1.7659346803994,humid,0.04
