aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
60,Edwards Plateau (Edwards-Trinity Aquifer System),22,-1.4416017564314,-1.0815
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),18,1.1416390262810605,1.1383
62,Eastside Lower Indus Valley (Indus Basin),21,-0.9879725589851068,-1.1982
63,Central Piedmont Upland (Piedmont Plateau),22,1.16884979432748,1.2612
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),21,-1.355397008483767,-1.3275
65,Jiangsu Coastal Plain (Huaihe River Basin),21,1.4558777330527282,1.3973
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),22,-1.6122852890286279,-1.4707
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),19,1.5749908663907253,1.548
68,Eastside Middle Indus Plain (Indus Basin),19,-1.4133042651448593,-1.6294
69,Central Allegheny Plateau (Appalachian Plateaus),21,1.5662540593006065,1.7151
70,Northeastern Karoo Basin (Main Karoo Basin),20,-2.2250198682342757,-1.8052
71,Southern Riverine Plains (Murray Basin),19,2.025193375346284,1.9001
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),20,-2.0555827442771255,-2.0
