centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
JPL,587,96,DDK7,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.627108283884381,31,0.627108283884381,0.627108283884381,82
GFZ,583,96,DDK7,none,original,original,GravIS,-0.626298066463341,31,0.626298066463341,0.626298066463341,83
CSR,0,60,G300,none,replaced,replaced,none,-0.625285294687042,31,0.625285294687042,0.625285294687042,84
CSR,4,60,G300,none,original,replaced,none,-0.625285294687042,31,0.625285294687042,0.625285294687042,85
CSR,6,60,G300,none,original,original,none,-0.625285294687042,31,0.625285294687042,0.625285294687042,86
JPL,617,96,DDK8,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.624475077266003,31,0.624475077266003,0.624475077266003,87
JPL,619,96,DDK8,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.624475077266003,31,0.624475077266003,0.624475077266003,88
GFZ,591,96,DDK7,Geruo_ICE5G_VM2,original,original,GravIS,-0.624475077266003,31,0.624475077266003,0.624475077266003,89
JPL,262,60,DDK7,none,original,original,none,-0.624069968555483,31,0.624069968555483,0.624069968555483,90
GFZ,633,96,DDK8,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.623664859844964,31,0.623664859844964,0.623664859844964,91
GFZ,585,96,DDK7,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.623462305489704,31,0.623462305489704,0.623462305489704,92
GFZ,581,96,DDK7,none,original,replaced,GravIS,-0.623259751134444,31,0.623259751134444,0.623259751134444,93
JPL,294,60,DDK8,none,original,original,none,-0.622854642423924,31,0.622854642423924,0.622854642423924,94
CSR,2,60,G300,none,replaced,original,none,-0.622652088068665,31,0.622652088068665,0.622652088068665,95
JPL,292,60,DDK8,none,original,replaced,none,-0.622246979358145,31,0.622246979358145,0.622246979358145,96
JPL,260,60,DDK7,none,original,replaced,none,-0.621841870647625,31,0.621841870647625,0.621841870647625,97
GFZ,635,96,DDK8,Peltier_ICE6G_D,replaced,original,GravIS,-0.621234207581846,31,0.621234207581846,0.621234207581846,98
JPL,591,96,DDK7,Geruo_ICE5G_VM2,original,original,GravIS,-0.620221435805547,31,0.620221435805547,0.620221435805547,99
JPL,256,60,DDK7,none,replaced,replaced,none,-0.620018881450287,31,0.620018881450287,0.620018881450287,100
CSR,281,60,DDK7,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.618803555318728,31,0.618803555318728,0.618803555318728,101
CSR,283,60,DDK7,Peltier_ICE6G_D,replaced,original,GravIS,-0.618803555318728,31,0.618803555318728,0.618803555318728,102
GFZ,288,60,DDK8,none,replaced,replaced,none,-0.618398446608209,31,0.618398446608209,0.618398446608209,103
GFZ,290,60,DDK8,none,replaced,original,none,-0.618398446608209,31,0.618398446608209,0.618398446608209,104
CSR,285,60,DDK7,Peltier_ICE6G_D,original,replaced,GravIS,-0.618195892252949,31,0.618195892252949,0.618195892252949,105
CSR,287,60,DDK7,Peltier_ICE6G_D,original,original,GravIS,-0.618195892252949,31,0.618195892252949,0.618195892252949,106
JPL,577,96,DDK7,none,replaced,replaced,GravIS,-0.617993337897689,31,0.617993337897689,0.617993337897689,107
CSR,317,60,DDK8,Peltier_ICE6G_D,original,replaced,GravIS,-0.61677801176613,31,0.61677801176613,0.61677801176613,108
CSR,319,60,DDK8,Peltier_ICE6G_D,original,original,GravIS,-0.61677801176613,31,0.61677801176613,0.61677801176613,109
CSR,267,60,DDK7,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.61657545741087,31,0.61657545741087,0.61657545741087,110
JPL,288,60,DDK8,none,replaced,replaced,none,-0.61657545741087,31,0.61657545741087,0.61657545741087,111
JPL,290,60,DDK8,none,replaced,original,none,-0.61657545741087,31,0.61657545741087,0.61657545741087,112
JPL,258,60,DDK7,none,replaced,original,none,-0.61637290305561,31,0.61637290305561,0.61637290305561,113
CSR,313,60,DDK8,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.615967794345091,31,0.615967794345091,0.615967794345091,114
CSR,315,60,DDK8,Peltier_ICE6G_D,replaced,original,GravIS,-0.615967794345091,31,0.615967794345091,0.615967794345091,115
JPL,589,96,DDK7,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.614549913858272,31,0.614549913858272,0.614549913858272,116
CSR,585,96,DDK7,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.613739696437233,31,0.613739696437233,0.613739696437233,117
CSR,587,96,DDK7,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.613739696437233,31,0.613739696437233,0.613739696437233,118
JPL,261,60,DDK7,none,original,replaced,GravIS,-0.613739696437233,31,0.613739696437233,0.613739696437233,119
