estimator,aquifer_idx,study_area,tau_gw,median_rec,q25,q75,frac_neg,frac_pos,p_sign,bias,brackets,median_sign_ok,tau_stipulated_cm_yr
gldas,27,Trans Gangetic Plain (Indo-Gangetic Plain),-0.943344193847052,-0.741143620978306,-1.1430620189796,-0.552881400622758,1,0,1,0.202200572868745,TRUE,TRUE,-1.0779
gldas,28,Southcentral Mega Aquifer System (Mega Aquifer System),-0.202575612193466,-0.391738684904568,-0.478988431384963,-0.302656067091784,0.926041666666667,0.0739583333333333,0.926041666666667,-0.189163072711102,FALSE,TRUE,-0.2753
gldas,29,Central Mississippi Embayment (Mississippi Embayment),-2.02554252923471,-0.356264494719769,-0.770009960035515,-0.0442510429363132,0.8015625,0.1984375,0.8015625,1.66927803451494,FALSE,TRUE,-2.5295
gldas,30,Northern Karoo Basin (Main Karoo Basin),-0.208061309120025,0.0822825382486606,-0.0196676358370307,0.165925713621831,0.291145833333333,0.708854166666667,0.291145833333333,0.290343847368686,FALSE,FALSE,-0.0529
gldas,31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),-0.18628133260784,0.227491710167827,-0.201437007392695,0.408349665274052,0.344791666666667,0.655208333333333,0.344791666666667,0.413773042775666,TRUE,FALSE,-0.2457
gldas,32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),-1.02840917912348,-0.0165609274504569,-0.156418623199689,0.130372426685171,0.528645833333333,0.471354166666667,0.528645833333333,1.01184825167302,FALSE,TRUE,-1.4324
gldas,33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),-0.0643158301943879,0.429988312649353,0.288624558334666,0.682369428257888,0.0234375,0.9765625,0.0234375,0.494304142843741,FALSE,FALSE,-0.0703
gldas,34,Central Huaihe Plain (Huaihe River Basin),-0.504273229354172,-0.346402649014467,-0.523217213216913,-0.188241352237717,0.90625,0.09375,0.90625,0.157870580339705,TRUE,TRUE,-0.6839
gldas,35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,-1.00473079384545,-0.479579685145564,-0.895307402357277,-0.108306800322376,0.813020833333333,0.186979166666667,0.813020833333333,0.525151108699887,FALSE,TRUE,-1.2784
gldas,36,Southern High Plains (High Plains),-0.311300787986317,0.18162906112246,-0.122200033910829,0.326142066023573,0.31875,0.68125,0.31875,0.492929849108777,FALSE,FALSE,-0.3659
gldas,37,Southcentral Karoo Basin (Main Karoo Basin),-1.1157887726878,-0.305487925037325,-0.568449868094615,-0.152252904179888,0.951041666666667,0.0489583333333333,0.951041666666667,0.810300847650478,FALSE,TRUE,-1.2077
gldas,38,Central High Plains (High Plains),-1.19662847190973,0.114773731778938,-0.264183214568071,0.274753907382425,0.373958333333333,0.626041666666667,0.373958333333333,1.31140220368867,FALSE,FALSE,-1.7983
gldas,39,Lower Liaohe River Plain (Liaohe River Basin),-0.0471755910833669,-0.286559582140015,-0.382067636404466,-0.155829217105001,0.921875,0.078125,0.921875,-0.239383991056648,FALSE,TRUE,-0.056
gldas,40,Wadi As-Sirhan Basin,-0.0498452816378775,-0.607128563152494,-0.690212502968129,-0.526277180196669,0.916666666666667,0.0833333333333333,0.916666666666667,-0.557283281514617,FALSE,TRUE,-0.0744
gldas,41,Eastern Saq Aquifer (Ram-Saq Aquifer System),-0.94414589323051,-0.418039231236099,-0.535270452440779,-0.350242510787876,0.959375,0.040625,0.959375,0.526106661994411,FALSE,TRUE,-1.5162
gldas,42,Trinity Aquifer System (Edwards-Trinity Aquifer System),-0.125031833316488,0.31108212746964,0.110312516034475,0.459681055418719,0.209895833333333,0.790104166666667,0.209895833333333,0.436113960786128,FALSE,FALSE,-0.1849
gldas,43,Wisconsin Precambrian Aquifer,-0.179052329564541,-0.031208743680078,-0.313235614614741,0.205419877578666,0.535416666666667,0.464583333333333,0.535416666666667,0.147843585884463,TRUE,TRUE,-0.165
gldas,44,Lafayette Area (Gulf Coast Regional Aquifer System),-1.99925379305196,0.095806513016601,-0.179029980324048,0.252176131559977,0.380729166666667,0.619270833333333,0.380729166666667,2.09506030606856,FALSE,FALSE,-2.8342
gldas,45,Paskapoo-Scollard,-0.0402741666665767,0.514007937966753,0.0790636651084906,0.766357170020608,0.177083333333333,0.822916666666667,0.177083333333333,0.554282104633329,FALSE,FALSE,-0.0593
gldas,46,Western Surat Basin (Great Artesian Basin),-1.58514343309429,-0.309477314422364,-0.429903436205981,-0.20856873968146,0.8890625,0.1109375,0.8890625,1.27566611867193,FALSE,TRUE,-2.1328
gldas,47,Coonamble Embayment (Great Artesian Basin),-0.20019387158101,-0.0807528933515161,-0.163988178104534,0.118252464855344,0.646875,0.353125,0.646875,0.119440978229494,FALSE,TRUE,-0.1242
gldas,48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),-0.44136895627299,-0.119058651065816,-0.222487342114588,0.012060446087754,0.736458333333333,0.263541666666667,0.736458333333333,0.322310305207174,FALSE,TRUE,-0.3873
gldas,49,Wuyuer-Shuangyang System (Songnen Plain),-0.300090815923139,-0.189187064492328,-0.324886621286735,-0.0266673255530021,0.768229166666667,0.231770833333333,0.768229166666667,0.110903751430811,TRUE,TRUE,-0.4339
gldas,50,Powder River Basin (Northern Great Plains),-0.289783016952721,-0.0507131198073202,-0.556853653729001,0.126796783035095,0.55,0.45,0.55,0.239069897145401,TRUE,TRUE,-0.3457
gldas,51,Central Eucla Basin (Eucla Basin),-0.443680628338799,0.010770523239136,-0.0619112761737606,0.0729976558728632,0.458333333333333,0.541666666666667,0.458333333333333,0.454451151577935,FALSE,FALSE,-0.7663
gldas,52,Rio Grande Delta (Gulf Coast Regional Aquifer System),-0.145027800471938,0.523012297686465,0.274856282529646,0.683458489253105,0.0625,0.9375,0.0625,0.668040098158403,FALSE,FALSE,-0.2322
gldas,53,Michigan Basin,-0.0646455762359169,0.232465833616348,-0.0730972493019075,0.467017923725888,0.301041666666667,0.698958333333333,0.301041666666667,0.297111409852265,TRUE,FALSE,-0.0935
