Study_area,abs_GRACE_trend,dominance_R,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,abs_trend_m_yr,ai_mean,ai_std,n_pixels,climate_zone,is_anchor,anchor_short
Northeastern Karoo Basin (Main Karoo Basin),1.58326711270841,0.579109997047215,52358,28.9313496568393,-26.9760298984317,30,-0.05,Africa,stable,other (new),0.05,0.482874054890059,0.0547645036753731,68537,semi-arid,FALSE,
Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2.10522909756792,0.381118629244061,61216,79.0150006885192,17.6319372686315,74,0.11,S Asia,deepening,other (new),0.11,0.471568414881143,0.0731108300398891,75048,semi-arid,FALSE,
Northern Eromanga Basin (Great Artesian Basin),0.652744632747784,0.715593811972585,281571,142.610186944451,-22.3433104934875,154,-0.09,Oceania,stable,other (new),0.09,0.173438835994611,0.0533665895464728,355531,arid,FALSE,
Northern Georgina Basin (Daly-Wiso-Georgina Basins),3.58451056231513,0.683586265405662,116661,134.927386993097,-17.9131258050471,1,0.1,Oceania,stable,other (new),0.1,0.237780954075687,0.0765067975505689,143301,semi-arid,FALSE,
Northern Guarani Aquifer (Guarani Aquifer System),2.33732473755011,0.514950552703277,419237,-50.8574307428778,-20.1107372582477,18,0,S America,stable,other (new),0,1.02176875213262,0.130579284125597,521658,humid,FALSE,
Northern High Plains (High Plains),2.17990923223182,0.459874900409072,259376,-101.002703922242,41.3394803714914,5421,0,N America,stable,HP,0,0.376322301358,0.0995444534991357,401841,semi-arid,TRUE,HP Northern
Northern Karoo Basin (Main Karoo Basin),1.31317876610274,0.487606728552728,89072,25.8598129629715,-28.7643748464015,33,0.12,Africa,deepening,other (new),0.12,0.288414622951926,0.0571664997123623,118526,semi-arid,FALSE,
Northern Mega Aquifer System (Mega Aquifer System),1.5048573938623,0.352453769887328,143434,43.442314387262,30.9182773228626,1,-0.03,Mid East,stable,other (new),0.03,0.0347966908106001,0.00815505445286837,194942,arid,FALSE,
Ozark Plateaus Aquifer System,1.56695956708829,0.462953815317358,172612,-92.7719063809266,37.1618744546686,283,-0.06,N America,stable,other (new),0.06,0.900862356710376,0.0669161418324954,252199,humid,FALSE,
Paskapoo-Scollard,2.02220121543352,0.354585253322654,65768,-115.481028433771,53.0649872289773,26,-0.01,N America,stable,other (new),0.01,0.712528518760684,0.115093209002038,126941,humid,FALSE,
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),0.256867994548159,1.69533549254311,292840,137.193863448878,-26.5299640820597,23,0.04,Oceania,stable,other (new),0.04,0.0597406887381162,0.0120688497469242,382032,arid,FALSE,
Powder River Basin (Northern Great Plains),1.0980289573176,0.646026777522761,63642,-105.847712968912,44.5930206929222,12,-0.01,N America,stable,other (new),0.01,0.276846836125554,0.0295845156565311,103860,semi-arid,FALSE,
Rio Grande Delta (Gulf Coast Regional Aquifer System),0.771207518222897,0.752898949604103,62984,-98.1333665759169,26.2757121856051,159,0.04,N America,stable,other (new),0.04,0.381522552584061,0.0859512830315792,81964,semi-arid,FALSE,
Southcentral Deccan Basalt Plateau (Deccan Plateau),2.01187925761803,0.340237854035163,57686,75.408862273867,17.922879097394,95,0.17,S Asia,deepening,other (new),0.17,0.364434363839128,0.0861690075894098,70839,semi-arid,FALSE,
Southcentral Karoo Basin (Main Karoo Basin),0.671306669912428,0.481206580708514,72357,23.8231452823691,-32.5068793313863,56,0.12,Africa,deepening,other (new),0.12,0.194432651265127,0.0785691846316281,99990,arid,FALSE,
Southcentral Mega Aquifer System (Mega Aquifer System),0.289236024271967,2.60913533630292,89916,49.6393107315888,24.5367069092908,9,0.22,Mid East,deepening,other (new),0.22,0.0279511644832606,0.0053971637502046,115416,hyper-arid,FALSE,
Southeastern System (Amadeus Basin),0.0118808056388541,80.8646329767372,59372,133.660966205573,-24.8250262093272,1,0.44,Oceania,deepening,other (new),0.44,0.101209765553373,0.0157608910250795,76350,arid,FALSE,
Southern Carpentaria Basin (Great Artesian Basin),1.61439281322067,0.340162487071316,124001,140.712904222328,-18.549569033649,89,0.03,Oceania,stable,other (new),0.03,0.313988796487739,0.072994325267648,152836,semi-arid,FALSE,
Southern High Plains (High Plains),1.99582399195163,0.515063557113284,74884,-102.515008660682,33.6665162036171,3143,0.14,N America,deepening,HP,0.14,0.225141109987792,0.0274341752733451,104848,semi-arid,TRUE,HP Southern
Southern Piedmont Upland (Piedmont Plateau),1.1333084128945,0.557930512335634,61856,-84.2623478748794,33.4871024381475,112,-0.06,N America,stable,other (new),0.06,1.07287415852586,0.119942555894497,86396,humid,FALSE,
Southern Riverine Plains (Murray Basin),1.11413206634933,0.703142784085009,51599,144.728290085099,-35.9092349551246,4073,0.1,Oceania,stable,other (new),0.1,0.297404847970241,0.0750736328508774,74196,semi-arid,FALSE,
Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),1.96918833308941,0.239387927426114,330826,-58.2492363692785,-28.8381119959407,9,-0.18,S America,shallowing,other (new),0.18,0.891734722650931,0.177600799461521,440600,humid,FALSE,
Stampriet Kalahari Karoo Aquifer System,0.223969896563692,1.39601699522761,194772,19.4543152133407,-24.4535352754216,4,0.06,Africa,stable,other (new),0.06,0.122858699855486,0.0301484937322169,249803,arid,FALSE,
Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),0.978274752633961,0.552584482421119,81429,142.613002508794,-16.2884417432858,3,-0.08,Oceania,stable,other (new),0.08,0.518528708278713,0.0905398750772333,99170,dry sub-humid,FALSE,
Trans Gangetic Plain (Indo-Gangetic Plain),1.42593784199503,0.819915146586331,100322,75.927985314064,29.7481368230866,422,0.17,S Asia,deepening,IGP,0.17,0.377598718529017,0.167203107073718,134767,semi-arid,TRUE,IGP Trans
Trinity Aquifer System (Edwards-Trinity Aquifer System),1.7774003211271,0.355271759045229,67070,-97.3925110012785,32.2951646063437,622,0.05,N America,stable,other (new),0.05,0.548730250210852,0.109059448119402,92482,dry sub-humid,FALSE,
Upper Gangetic Plain (Indo-Gangetic Plain),0.412627757760485,2.61608080565106,199268,79.6664694079742,27.3119541616446,397,0.05,S Asia,stable,IGP,0.05,0.614263953088458,0.163345205223619,261684,dry sub-humid,TRUE,IGP Upper
Wadi As-Sirhan Basin,1.46496941760566,0.297601222225707,68037,38.4472391117464,30.4776326878126,4,0.22,Mid East,deepening,other (new),0.22,0.0252675282205056,0.00866069675290449,92043,hyper-arid,FALSE,
Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2.38947188509367,0.415193685796816,59488,-92.3789663720182,44.7291750900662,82,-0.01,N America,stable,other (new),0.01,0.896799608520083,0.0699579943818434,97323,humid,FALSE,
Western Karoo Basin (Main Karoo Basin),0.697630429084752,0.434799561254511,146433,21.943352339077,-30.7681497288517,54,0.05,Africa,stable,other (new),0.05,0.128945351909922,0.0421542964022638,198673,arid,FALSE,
Western Parecis Basin (Parecis Basin),2.63241607778006,0.459756568010468,213494,-58.1210092734183,-12.9251061267287,7,0.02,S America,stable,other (new),0.02,1.54251671052632,0.12165411312986,256120,humid,FALSE,
Western Surat Basin (Great Artesian Basin),1.35558893100086,0.385735029495288,65684,147.679877377498,-28.3120325045684,109,-0.01,Oceania,stable,other (new),0.01,0.249949682304413,0.0305471135929372,87033,semi-arid,FALSE,
Williston Basin (Northern Great Plains),0.950052085490447,0.685967522829118,242272,-103.274532058273,47.5311407876743,77,-0.02,N America,stable,other (new),0.02,0.350411205285494,0.0829313365294733,416839,semi-arid,FALSE,
Wisconsin Precambrian Aquifer,2.94643485471906,0.438445403477291,65963,-89.8861101919984,45.733653943509,45,-0.02,N America,stable,other (new),0.02,1.03089829423336,0.0540645266515985,109804,humid,FALSE,
Wiso Basin (Daly-Wiso-Georgina Basins),4.08913249194243,0.773160941570392,116966,132.26713802247,-18.3596642124762,1,-0.22,Oceania,shallowing,other (new),0.22,0.20541533739349,0.0584184518206981,144001,semi-arid,FALSE,
Wuyuer-Shuangyang System (Songnen Plain),1.31660773801291,0.511147175401382,63713,124.329598980185,45.8550336061385,19,0.04,E Asia,stable,other (new),0.04,0.425934435653066,0.0399239502707316,106291,semi-arid,FALSE,
