Study_area,umbrella_short,sub_short,climate_zone,area_km2,sign_agree,abs_GRACE_trend,dominance_R
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,humid,75252,0.705208333333333,0.322508266934809,2.39878827089366
Northeastern Karoo Basin (Main Karoo Basin),Main Karoo,Northeastern Karoo,semi-arid,52358,0.707291666666667,0.0746846502039183,2.46384154522495
Lafayette Area (Gulf Coast Regional Aquifer System),Gulf Coast Regional,Lafayette Area,humid,65824,0.709895833333333,0.131208618680273,2.49649521429734
Williston Basin (Northern Great Plains),Northern Great Plains,Williston,semi-arid,242272,0.714583333333333,0.188787618685333,2.61770002641523
Ozark Plateaus Aquifer System,Ozark Plateaus,Ozark Plateaus,humid,172612,0.743229166666667,0.226562370543875,1.92785162020212
Powder River Basin (Northern Great Plains),Northern Great Plains,Powder River,semi-arid,63642,0.7578125,0.378713261224424,1.43357210176718
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),Great Artesian,Poolowanna Trough and Western Eromanga,arid,292840,0.758854166666667,0.0969105778390422,2.19331766414364
Dakota Aquifer System,Dakota,Dakota,semi-arid,110336,0.790625,0.269654488032693,1.61537577007504
Western Karoo Basin (Main Karoo Basin),Main Karoo,Western Karoo,arid,146433,0.797916666666667,0.0706391884285275,1.8353251515197
Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),Parnaiba,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers,humid,117926,0.808333333333333,0.163550668938176,0.990478081195883
Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),Great Artesian,Mimosa Syncline and Eastern Surat,semi-arid,64955,0.838020833333333,0.153836064560225,1.35522050691012
Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),Northern Midwest,Eastern Cambrian-Ordovician Aquifers,humid,55195,0.840104166666667,0.432227400416268,1.03645803827182
Paskapoo-Scollard,Paskapoo-Scollard,Paskapoo-Scollard,humid,65768,0.847916666666667,0.322977990667825,1.77885763531139
Trinity Aquifer System (Edwards-Trinity Aquifer System),Edwards-Trinity,Trinity,dry sub-humid,67070,0.865625,0.250586903040339,1.32848756947751
Southern Carpentaria Basin (Great Artesian Basin),Great Artesian,Southern Carpentaria,semi-arid,124001,0.872395833333333,0.139763098574614,1.2759131019775
Central Karoo Basin (Main Karoo Basin),Main Karoo,Central Karoo,semi-arid,128536,0.891145833333333,0.130066806479593,1.11399025767367
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),Great Artesian,Arckaringa Basin and Southwestern Great Artesian,arid,107715,0.901041666666667,0.16639946075655,1.3123269911502
Rio Grande Delta (Gulf Coast Regional Aquifer System),Gulf Coast Regional,Rio Grande Delta,semi-arid,62984,0.905729166666667,0.287591680837426,1.18552796829587
Central Huaihe Plain (Huaihe River Basin),Huaihe River,Central Huaihe,humid,79573,0.928125,0.380302814072964,1.40752358262916
Northern Karoo Basin (Main Karoo Basin),Main Karoo,Northern Karoo,semi-arid,89072,0.943229166666667,0.168308182130551,1.19478895173247
Southeastern System (Amadeus Basin),Amadeus,Southeastern,arid,59372,0.949479166666667,0.305718118846323,0.913809811350093
Eastern Huaihe Plain (Huaihe River Basin),Huaihe River,Eastern Huaihe,dry sub-humid,61827,0.954166666666667,0.373853142742331,0.921380363515391
Michigan Basin,Michigan,Michigan,humid,62295,0.9578125,0.617960717341416,0.892115284418705
Eastern Parecis Basin (Parecis Basin),Parecis,Eastern Parecis,humid,118059,0.977604166666667,0.394565900458619,0.476049765193929
Coonamble Embayment (Great Artesian Basin),Great Artesian,Coonamble,semi-arid,65411,0.978125,0.246061382895791,0.911212854681181
Stampriet Kalahari Karoo Aquifer System,Stampriet Kalahari Karoo,Stampriet Kalahari Karoo,arid,194772,0.982291666666667,0.14657153669516,0.764370885482862
Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),Great Artesian,Staten River Embayment and Central Carpentaria,dry sub-humid,81429,0.983333333333333,0.190940654233997,0.884714317059977
Wisconsin Precambrian Aquifer,Wisconsin Precambrian,Wisconsin Precambrian,humid,65963,0.991666666666667,0.480391543281934,0.824581771639572
Wiso Basin (Daly-Wiso-Georgina Basins),Daly-Wiso-Georgina Basins,Wiso,semi-arid,116966,0.996875,0.409525770672694,1.35182568666013
